borough,block,lot,cd,ct2010,cb2010,schooldist,council,zipcode,firecomp,policeprct,healtharea,sanitboro,sanitsub,address,zonedist1,zonedist2,zonedist3,zonedist4,overlay1,overlay2,spdist1,spdist2,spdist3,ltdheight,splitzone,bldgclass,landuse,easements,ownertype,ownername,lotarea,bldgarea,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,areasource,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,ext,proxcode,irrlotcode,lottype,bsmtcode,assessland,assesstot,exempttot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,condono,tract2010,xcoord,ycoord,latitude,longitude,zonemap,zmcode,sanborn,taxmap,edesignum,appbbl,appdate,plutomapid,version,sanitdistrict,healthcenterdistrict,firm07_flag,pfirm15_flag,rpaddate,dcasdate,zoningdate,landmkdate,basempdate,masdate,polidate,edesigdate,geom,dcpedited,notes,Year
MN,1976,16,109,203,1000,03,7,10027,E047,26,1800,1,1Q,519 WEST 121 STREET,R8,,,,,,,,,,N,D1,03,0,,TRUSTEES OF COLUMBIA UNIVERSITY,6728,28668,0,28668,0,0,0,0,0,0,2,0001,6,34,34,66.67,100.92,67.00,86.00,N,2,N,5,2,108900,1147950,918360,1926,1988,0,,,4.26,6.02,0,6.5,1,1019760016,,0203,995312,234676,40.8108002491207,-73.9600390116646,5c,,107N079,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000500000092CCF3FE6D7D52C04291DE0FCB674440589B7A08717D52C061D7BEC4C267444098A4C083747D52C0264698B3C5674440927BBB78717D52C0FB7277FDCD67444092CCF3FE6D7D52C04291DE0FCB674440,,,2020
MN,1976,10,109,203,1000,03,7,10027,E047,26,1800,1,1Q,527 WEST 121 STREET,R8,,,,,,,,,,N,D1,03,0,,TRUSTEES OF COLUMBIA UNIVERSITY,6728,28668,0,28668,0,0,0,0,0,0,2,0001,6,24,24,66.67,100.92,67.00,86.00,N,3,N,5,2,108900,1040850,791046,1926,1988,0,,,4.26,6.02,0,6.5,1,1019760010,,0203,995195,234741,40.8109788017651,-73.9604615629744,5c,,107N079,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000600000079B28442767D52C083691A06D26744407063D0F1747D52C07A9876EAD0674440E0ADD3FC777D52C0A9C294A0C8674440CC81FA707B7D52C05CE36989CB674440AF89F665787D52C0A7714CD3D367444079B28442767D52C083691A06D2674440,,,2020
MN,1895,65,109,199,1000,03,7,10025,E047,26,2310,1,1A,610 WEST 114 STREET,R8,,,,,,,,,,N,H8,08,0,X,TRUSTEES OF COLUMBIA UNIVERSITY,1413,3688,,,,,,,,,2,0001,4,0,1,14.00,100.92,14.00,75.00,N,3,N,5,2,168750,381600,381600,1896,0,0,Morningside Heights Historic District,,2.61,6.02,0,6.5,1,1018950065,,0199,993723,233238,40.8068551843653,-73.9657812328741,5c,,107N063,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000600000034D8161ED17D52C0C2C6CD72436744407553E03ECE7D52C051EC5F524B674440793C9584CD7D52C082D1B0B64A67444010C9C663D07D52C0CBF11AD742674440553A15AED07D52C07A7D32154367444034D8161ED17D52C0C2C6CD7243674440,t,,2020
MN,1895,23,109,199,1007,03,7,10025,E047,26,2310,1,1A,2891 BROADWAY,R8,,,,C1-4,,,,,,N,D7,04,0,,TRUSTEES OF COLUMBIA UNIVERSITY,10092,88332,5000,83332,0,5000,0,0,0,0,2,0001,13,250,255,100.92,100.00,100.00,88.00,N,3,N,3,2,1170000,7796250,6938664,1911,1988,0,Morningside Heights Historic District,,8.75,6.02,0,6.5,1,1018950023,,0199,993712,232947,40.8060564814959,-73.9658213776723,5c,,107N063,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000500000075520215D17D52C01481555D3367444054DAE0D2CB7D52C080AA5BF82E674440712D48EBCE7D52C0571B337C26674440FFB6682DD47D52C0D7D32BE12A67444075520215D17D52C01481555D33674440,,,2020
MN,1976,61,109,203,1000,03,7,10027,E047,26,1800,1,1A,3074 BROADWAY,R8,,,,,,,,,,N,D7,04,0,,TRUSTEES OF COLUMBIA UNIVERSITY,9200,41184,3000,38184,0,3000,0,0,0,0,2,0001,6,34,35,92.00,100.00,92.00,88.00,N,2,N,3,2,178200,1646100,1135808,1926,1989,0,,,4.48,6.02,0,6.5,1,1019760061,,0203,995079,234921,40.8114729946242,-73.9608803185493,5c,,107N079,10707,,,,1,20v1,09,16,,,,,,,,,,,0106000020E610000001000000010300000001000000060000004B8DF839837D52C0249095CADC67444068680553807D52C0C91D3BB2E46744402FE5ECC97A7D52C08F417108E06744402996B0A57D7D52C0A0C1453FD8674440CCACDFB07D7D52C000CECC20D86744404B8DF839837D52C0249095CADC674440,,,2020
MN,1884,52,109,199,4000,03,7,10025,E047,26,2310,1,1A,544 WEST 113 STREET,R8,,,,,,,,,,N,C7,04,0,,TRUSTEES OF COLUMBIA UNIVERSITY,1892,7040,1430,5610,0,1430,0,0,0,0,2,0001,4,8,9,18.75,100.92,19.00,67.00,E,3,N,5,1,255150,913050,204251,1920,0,0,,,3.72,6.02,0,6.5,1,1018840052,,0199,994124,232714,40.8054165099252,-73.9643334947331,5c,,107N052,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E610000001000000010300000001000000050000008B229FBEB57D52C017355D941B67444080BD32A5B87D52C01FF629A013674440734B0786B97D52C031A77D5D146744409D1B759FB67D52C01424AF511C6744408B229FBEB57D52C017355D941B674440,,,2020
MN,1882,42,109,199,6001,03,7,10025,E047,26,2310,1,1R,518 WEST 111 STREET,R8,,,,,,,,,,N,D1,03,0,,TRUSTEES OF COLUMBIA UNIVERSITY,9948,43002,0,43002,0,0,0,0,0,0,2,0001,6,32,32,108.33,91.83,108.00,79.00,N,3,N,5,2,315000,1525500,1433970,1909,1988,0,Morningside Heights Historic District,,4.32,6.02,0,6.5,1,1018820042,,0199,994056,232160,40.8038960081831,-73.9645799310073,5d,,107N052,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000500000067ADF1CFBF7D52C0CEDCABBBE4664440FD9A6F11BD7D52C081296033EC664440A41D687EB77D52C0193A417CE7664440970CEB3CBA7D52C056E98F04E066444067ADF1CFBF7D52C0CEDCABBBE4664440,t,,2020
MN,1884,1,109,199,4000,03,7,10025,E047,26,2310,1,1B,2880 BROADWAY,R8,,,,C1-4,,,,,,N,O6,05,0,,TRUSTEES OF COLUMBIA UNIVERSITY,10092,59018,59018,0,47489,5529,0,0,0,6000,2,0001,7,0,6,100.92,100.00,101.00,95.00,,0,N,3,5,720000,6777900,5693436,1904,0,0,Morningside Heights Historic District,,5.85,6.02,0,6.5,1,1018840001,,0199,993870,232737,40.8054799187931,-73.9652509512813,5c,,107N052,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000500000058FC048EC27D52C030115CF81B674440E8DFCA92C57D52C02DBC56B113674440745F85B7CA7D52C0A64F1C061867444071A4C1B2C77D52C0CBA4244D2067444058FC048EC27D52C030115CF81B674440,t,,2020
MN,1884,41,109,199,4000,03,7,10025,E047,26,2310,1,1A,WEST 113 STREET,R8,,,,,,,,,,N,V1,11,0,,TRUSTEES OF COLUMBIA UNIVERSITY,3213,0,,,,,,,,,7,0,0,0,0,31.83,100.92,0,0,,0,N,5,5,391050,391050,0,0,0,0,,,0.00,6.02,0,6.5,1,1018840041,,0199,994375,232575,40.8050347091596,-73.963427051355,5c,,107N052,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000600000090A4EA87A67D52C0BD9AA4C40E67444056C4806EA97D52C0745276D006674440D7269CADA97D52C00E379B0507674440A3C3BFF8AA7D52C0B118771C0867444048E52912A87D52C073C0A3101067444090A4EA87A67D52C0BD9AA4C40E674440,,,2020
MN,1885,24,109,199,3000,03,7,10025,E047,26,2310,1,1A,511 WEST 113 STREET,R8,,,,,,,,,,N,D3,03,0,,TRUSTEES OF COLUMBIA UNIVERSITY,7556,42360,0,42360,0,0,0,0,0,0,2,0001,8,42,42,75.00,100.75,75.00,82.00,N,3,N,5,2,495000,1797300,1707435,1910,1988,0,,,5.61,6.02,0,6.5,1,1018850024,,0199,994472,232704,40.8053886669193,-73.9630764771062,5c,,107N065,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E61000000100000001030000000100000006000000CD3ECE9B9F7D52C0716D305519674440017D8080A27D52C054A53766116744402E3E4B70A67D52C0845CE3B6146744406FA6998BA37D52C0D2ECDCA51C6744403548E4F3A07D52C068F3F1761A674440CD3ECE9B9F7D52C0716D305519674440,,,2020
MN,1885,52,109,199,3000,03,7,10025,E047,26,2310,1,1A,538 WEST 114 STREET,R8,,,,,,,,,,N,C5,02,0,X,TRUSTEES OF COLUMBIA UNIVERSITY,2018,5800,0,5800,0,0,0,0,0,0,2,0001,4,13,13,20.00,100.92,20.00,64.00,E,3,N,5,2,135000,527850,527850,1900,0,0,,,2.87,6.02,0,6.5,1,1018850052,,0199,994262,232938,40.8060311728465,-73.9638346821318,5c,,107N065,10703,,,,1,20v1,09,16,,,,,,,,,,,0106000020E6100000010000000103000000010000000500000054C40F84AE7D52C061B0B8B630674440000ED761AD7D52C0D6F453C22F6744405E4B1E66B07D52C07695BE7C27674440B6CF5688B17D52C0E51423712867444054C40F84AE7D52C061B0B8B630674440,,,2020
